epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,990.7,0.39976,0.28909,0.8296,0.99165,0.98568,0.99463,0.91545,0.38015,0.2441,0.80415,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
44,1011.25,0.39743,0.27538,0.82343,0.98442,0.98959,0.99433,0.92025,0.37625,0.2437,0.80134,0.0032269,0.00107563,0.0032269,0.00107563,0.0032269,0.00107563,0.0032269,0.00107563
45,1031.54,0.39235,0.28255,0.82655,0.9866,0.99244,0.99469,0.9122,0.38977,0.248,0.80109,0.00318564,0.00106188,0.00318564,0.00106188,0.00318564,0.00106188,0.00318564,0.00106188
46,1050.89,0.39559,0.28356,0.81853,0.9937,0.97897,0.99435,0.91148,0.37518,0.23802,0.79924,0.00314438,0.00104813,0.00314438,0.00104813,0.00314438,0.00104813,0.00314438,0.00104813
47,1071.5,0.3923,0.2818,0.82099,0.9922,0.97935,0.99472,0.91427,0.38201,0.24054,0.80309,0.00310312,0.00103437,0.00310312,0.00103437,0.00310312,0.00103437,0.00310312,0.00103437
48,1091.11,0.39084,0.27686,0.82289,0.99625,0.98192,0.99478,0.92291,0.36839,0.23816,0.79884,0.00306186,0.00102062,0.00306186,0.00102062,0.00306186,0.00102062,0.00306186,0.00102062
49,1110.9,0.39135,0.27619,0.82785,0.98606,0.99322,0.99432,0.92133,0.37523,0.23058,0.80392,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
50,1131.21,0.38634,0.2761,0.82309,0.98907,0.98825,0.9942,0.92251,0.37018,0.23295,0.80349,0.00297935,0.000993115,0.00297935,0.000993115,0.00297935,0.000993115,0.00297935,0.000993115
51,1151.03,0.38003,0.27117,0.81824,0.98531,0.9944,0.99464,0.92231,0.36255,0.23659,0.8014,0.00293809,0.000979362,0.00293809,0.000979362,0.00293809,0.000979362,0.00293809,0.000979362
52,1171.23,0.38675,0.27246,0.82227,0.99355,0.98541,0.99457,0.91252,0.38146,0.23836,0.8098,0.00289683,0.00096561,0.00289683,0.00096561,0.00289683,0.00096561,0.00289683,0.00096561
53,1190.64,0.38438,0.27079,0.82024,0.99217,0.98035,0.99333,0.92615,0.3626,0.24409,0.7986,0.00285557,0.000951857,0.00285557,0.000951857,0.00285557,0.000951857,0.00285557,0.000951857
54,1210.13,0.38228,0.26675,0.82301,0.98818,0.99136,0.99365,0.92938,0.36376,0.23314,0.7962,0.00281431,0.000938104,0.00281431,0.000938104,0.00281431,0.000938104,0.00281431,0.000938104
55,1229.34,0.37507,0.26235,0.82031,0.97101,0.99599,0.99381,0.92935,0.35762,0.23745,0.79988,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
56,1249.44,0.37319,0.26125,0.81667,0.98301,0.99134,0.99225,0.92717,0.35485,0.22955,0.79817,0.0027318,0.000910599,0.0027318,0.000910599,0.0027318,0.000910599,0.0027318,0.000910599
57,1270.02,0.37147,0.26224,0.81778,0.98628,0.99293,0.99351,0.92677,0.35369,0.23031,0.79576,0.00269054,0.000896846,0.00269054,0.000896846,0.00269054,0.000896846,0.00269054,0.000896846
58,1290.25,0.37391,0.25629,0.82155,0.99209,0.98388,0.9941,0.93104,0.34388,0.22359,0.79664,0.00264928,0.000883093,0.00264928,0.000883093,0.00264928,0.000883093,0.00264928,0.000883093
