epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
62,3166.78,0.42998,0.27495,0.83561,0.98599,0.9858,0.99258,0.92263,0.3697,0.22643,0.79659,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,3216.42,0.4276,0.27897,0.8311,0.98957,0.98815,0.99286,0.93182,0.35058,0.22661,0.79336,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,3266.16,0.42859,0.27541,0.83201,0.98609,0.98572,0.99282,0.92387,0.34927,0.21425,0.79637,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,3315.81,0.43072,0.27786,0.836,0.98585,0.98763,0.99275,0.9333,0.34606,0.21306,0.79207,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,3367.19,0.41615,0.27138,0.83216,0.99319,0.98424,0.9949,0.93498,0.35011,0.2168,0.79309,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,3416.97,0.4212,0.26973,0.83095,0.9858,0.98933,0.99282,0.92877,0.35215,0.2116,0.79248,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,3466.73,0.42259,0.27508,0.83858,0.98958,0.98564,0.99274,0.93454,0.34577,0.20934,0.79938,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,3516.37,0.41935,0.27228,0.83484,0.9866,0.9866,0.99308,0.93211,0.34547,0.21557,0.79515,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,3566.27,0.42278,0.27135,0.83301,0.98799,0.98412,0.99332,0.93164,0.34557,0.20637,0.78856,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,3615.86,0.41609,0.27161,0.83216,0.99036,0.98327,0.99332,0.93085,0.34388,0.21605,0.79555,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,3666.28,0.41591,0.26724,0.8309,0.99196,0.98379,0.99295,0.93163,0.33715,0.21299,0.79786,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,3715.9,0.41538,0.26624,0.83013,0.98528,0.9866,0.99277,0.93405,0.33618,0.213,0.7979,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,3765.69,0.41442,0.26723,0.83074,0.99429,0.9866,0.99344,0.9372,0.34326,0.21128,0.80254,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,3815.28,0.41646,0.26705,0.8299,0.99114,0.9858,0.99313,0.93423,0.33671,0.20423,0.79847,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,3865.03,0.4089,0.26438,0.82991,0.98818,0.9866,0.99327,0.93187,0.33646,0.2105,0.79164,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,3914.73,0.4113,0.26573,0.83115,0.98561,0.99206,0.99453,0.93246,0.33736,0.20089,0.79382,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,3964.33,0.40933,0.26364,0.83046,0.98516,0.99206,0.99467,0.92762,0.33364,0.20387,0.79667,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,4013.72,0.40934,0.2649,0.82857,0.99139,0.991,0.99451,0.9374,0.33207,0.19995,0.79773,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,4063.56,0.41259,0.26825,0.83034,0.98568,0.99206,0.99447,0.93073,0.33481,0.20744,0.79829,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,4113.21,0.40213,0.25886,0.82922,0.99674,0.9866,0.99355,0.93367,0.33438,0.20529,0.79796,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,4163,0.40434,0.25843,0.82923,0.99152,0.98731,0.99326,0.93543,0.33372,0.20033,0.79781,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,4212.63,0.39905,0.25629,0.82829,0.98712,0.98665,0.99457,0.93838,0.31988,0.19809,0.7948,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,4271.1,0.409,0.26041,0.82907,0.99083,0.98823,0.99338,0.93948,0.32281,0.19828,0.79131,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,4320.82,0.40237,0.256,0.82737,0.98818,0.9866,0.99454,0.9358,0.32794,0.19715,0.78551,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
